json_game_id,proplay_game_id,flip_label,league
115565670260116263,LOLTMNT01_354900,0,CBLOL
115564793879403681,LOLTMNT01_356643,0,LCS
115564793879403682,LOLTMNT01_354955,0,LCS
115564793879403683,LOLTMNT01_356663,1,LCS
115564793879338114,LOLTMNT01_354981,1,LCS
115548128962906244,LOLTMNT02_377509,0,LCK
115548128962906245,LOLTMNT02_377512,0,LCK
115615924499588592,13211-13211_game_1,0,LPL
115615926685695507,13211-13211_game_2,1,LPL
115615926685695508,13211-13211_game_3,0,LPL
115548128962840672,LOLTMNT02_376564,0,LCK
115548128962840673,LOLTMNT02_376566,0,LCK
115615924499588586,13212-13212_game_1,0,LPL
115615926685695501,13212-13212_game_2,0,LPL
115548668059523757,LOLTMNT04_155098,0,LEC
115548668059523758,LOLTMNT04_156104,0,LEC
115548668059589345,LOLTMNT04_155108,0,LEC
115548668059589346,LOLTMNT04_155109,0,LEC
115548668059589347,LOLTMNT04_155110,0,LEC
115565670260116222,LOLTMNT01_356942,0,CBLOL
115565670260116223,LOLTMNT01_357250,0,CBLOL
115564793879469273,LOLTMNT01_356999,0,LCS
115564793879469274,LOLTMNT01_358005,0,LCS
115564793879469275,LOLTMNT01_358010,0,LCS
115564793879403705,LOLTMNT01_358026,0,LCS
115564793879403706,LOLTMNT01_357301,0,LCS
115548668059523649,LOLTMNT04_156150,0,LEC
115548668059523650,LOLTMNT04_155128,0,LEC
115548668059523651,LOLTMNT04_155130,0,LEC
115548668059523717,LOLTMNT04_156161,0,LEC
115548668059523718,LOLTMNT04_155137,1,LEC
115548668059523719,LOLTMNT04_156164,0,LEC
115548128962840616,LOLTMNT01_360022,0,LCK
115548128962840617,LOLTMNT01_360035,0,LCK
115615926685695519,13213-13213_game_2,1,LPL
115615926685695520,13213-13213_game_3,0,LPL
115548128962840644,LOLTMNT01_360054,0,LCK
115548128962840645,LOLTMNT01_360067,0,LCK
115615924499588626,13214-13214_game_1,0,LPL
115615926685761077,13214-13214_game_2,0,LPL
115548668059523685,LOLTMNT05_184178,0,LEC
115548668059523686,LOLTMNT05_183165,0,LEC
115548668059523687,LOLTMNT05_184193,0,LEC
115548668059523641,LOLTMNT05_184204,0,LEC
115548668059523642,LOLTMNT05_183186,0,LEC
115548128962840608,LOLTMNT02_375568,0,LCK
115548128962840609,LOLTMNT02_375577,1,LCK
115548128962840652,LOLTMNT02_374657,0,LCK
115548128962840653,LOLTMNT02_374671,0,LCK
115548128962906292,LOLTMNT02_374985,0,LCK
115548128962906293,LOLTMNT02_374997,0,LCK
115548128962906276,LOLTMNT02_377156,0,LCK
115548128962906277,LOLTMNT02_376203,1,LCK
