game_id,tournament,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,first_to_ten,blue_time10,red_time10,ft10_ambiguous,blue_kills10,red_kills10
LOLTMNT02_414922,LCK,Gen.G,HANJIN BRION,"Ambessa,Jarvan IV,Mel,Ziggs,Nautilus","Sion,Pantheon,Aurora,Caitlyn,Tahm Kench","Kiin,Canyon,Chovy,Ruler,Duro","Casting,GIDEON,Roamer,Teddy,Namgung",blue,17.82678333333333,19.993033333333337,0,blue,20.165916666666664,,0,1,1
LOLTMNT02_408013,LCK,Dplus Kia,HANJIN BRION,"K'Sante,Jarvan IV,Viktor,Sivir,Bard","Rumble,Pantheon,Orianna,Ezreal,Nautilus","Siwoo,Lucid,ShowMaker,Smash,Career","Casting,GIDEON,Roamer,Teddy,Namgung",red,18.98935,15.996783333333333,0,red,38.16568333333333,27.163633333333333,0,1,2
LOLTMNT02_407136,LCK,HANJIN BRION,Dplus Kia,"Jayce,Vi,Cassiopeia,Caitlyn,Lux","Anivia,Xin Zhao,Kog'Maw,Ashe,Seraphine","Casting,GIDEON,Roamer,Teddy,Namgung","Siwoo,Lucid,ShowMaker,Smash,Career",red,20.82615,19.49975,0,red,,35.662616666666665,0,0,2
LOLTMNT02_407167,LCK,HANJIN BRION,Dplus Kia,"Renekton,Naafiri,Annie,Jhin,Neeko","Illaoi,Wukong,Taliyah,Yunara,Karma","Casting,GIDEON,Roamer,Teddy,Namgung","Siwoo,Lucid,ShowMaker,Smash,Career",red,26.829783333333335,21.488983333333334,0,blue,29.4926,,0,0,0
LOLTMNT02_395698,LCK,KT Rolster,HANJIN BRION,"Renekton,Jarvan IV,Mel,Caitlyn,Bard","Gnar,Lee Sin,Annie,Ezreal,Elise","PerfecT,Cuzz,Bdd,Aiming,Effort","Casting,GIDEON,Roamer,Teddy,Namgung",red,14.164566666666667,13.999816666666668,1,red,30.832033333333335,17.330683333333333,0,1,1
LOLTMNT02_395710,LCK,HANJIN BRION,KT Rolster,"Jayce,Xin Zhao,Aurora,Ashe,Lulu","Yorick,Wukong,Ahri,Jhin,Seraphine","Casting,GIDEON,Roamer,Teddy,Namgung","PerfecT,Cuzz,Bdd,Aiming,Effort",blue,13.159016666666668,15.332616666666667,0,red,,28.1663,0,3,2
LOLTMNT01_379647,LCK,HANJIN BRION,Nongshim RedForce,"Rumble,Xin Zhao,Ryze,Lucian,Milio","Ambessa,Jarvan IV,Annie,Caitlyn,Bard","Casting,GIDEON,Roamer,Teddy,Namgung","Kingen,Sponge,Scout,Diable,Pleata",blue,18.488400000000002,26.99275,0,blue,31.828266666666664,,0,1,1
LOLTMNT01_380657,LCK,HANJIN BRION,Nongshim RedForce,"Twisted Fate,Pantheon,Aurora,Miss Fortune,Nautilus","Gnar,Skarner,Taliyah,Ashe,Seraphine","Casting,GIDEON,Roamer,Teddy,Namgung","Kingen,Sponge,Scout,Diable,Pleata",red,11.328766666666667,11.328766666666667,1,red,23.996583333333334,23.996583333333334,1,3,3
LOLTMNT02_395585,LCK,Dplus Kia,Gen.G,"Jayce,Lee Sin,Annie,Lucian,Nami","Sion,Xin Zhao,Ryze,Caitlyn,Bard","Siwoo,Lucid,ShowMaker,Smash,Career","Kiin,Canyon,Chovy,Ruler,Duro",red,,23.66585,0,red,,26.832366666666665,0,0,1
LOLTMNT02_395589,LCK,Gen.G,Dplus Kia,"Aatrox,Vi,Aurora,Ashe,Seraphine","Gnar,Jarvan IV,Ahri,Mel,Pyke","Kiin,Canyon,Chovy,Ruler,Duro","Siwoo,Lucid,ShowMaker,Smash,Career",red,24.832833333333333,24.661366666666666,0,blue,30.99855,,0,2,2
