game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,blue_pc_avg,red_pc_avg,first_to_five,blue_time,red_time
10154-10154_game_2,LPL,2023,Top Esports,LNG Esports,"Jinx,Kha'Zix,Annie,Milio,Gragas","Aphelios,Wukong,Lissandra,Lulu,Sion","JackeyLove,Tian,Rookie,Mark,Wayward","GALA,Tarzan,Scout,Hang,Zika",0.5947,0.4363,blue,20.0,20.0
10154-10154_game_3,LPL,2023,LNG Esports,Top Esports,"Zeri,Viego,Annie,Yuumi,Jax","Aphelios,Wukong,Lissandra,Lulu,Gragas","GALA,Tarzan,Scout,Hang,Zika","JackeyLove,Tian,Rookie,Mark,Wayward",0.6489,0.5065,red,20.0,20.0
10155-10155_game_1,LPL,2023,Oh My God,Bilibili Gaming,"Aphelios,Viego,Ahri,Lulu,Sion","Xayah,Maokai,Jayce,Nautilus,Gragas","Able,Aki,Creme,ppgod,shanji","Elk,Xun,Yagao,ON,Bin",0.445,0.7099,red,20.0,20.0
10155-10155_game_2,LPL,2023,Oh My God,Bilibili Gaming,"Aphelios,Wukong,Ahri,Renata Glasc,Rumble","Xayah,Vi,Neeko,Nautilus,Gragas","Able,Aki,Creme,ppgod,shanji","Elk,Xun,Yagao,ON,Bin",0.5743,0.6867,red,20.0,20.0
10156-10156_game_1,LPL,2023,Weibo Gaming,JD Gaming,"Aphelios,Vi,Syndra,Milio,Malphite","Jinx,Maokai,Jayce,Lulu,K'Sante","Light,Weiwei,Xiaohu,Crisp,TheShy","Ruler,Kanavi,Knight,MISSING,369",0.7278,0.6985,blue,20.0,20.0
10156-10156_game_2,LPL,2023,JD Gaming,Weibo Gaming,"Lucian,Viego,Neeko,Nami,Jax","Aphelios,Wukong,Ahri,Lulu,Sion","Ruler,Kanavi,Knight,MISSING,369","Light,Weiwei,Xiaohu,Crisp,TheShy",0.6158,0.6596,red,20.0,20.0
10157-10157_game_1,LPL,2023,Team WE,Anyone's Legend,"Zeri,Nautilus,Jayce,Yuumi,Sion","Lucian,Wukong,Annie,Nami,Gragas","Hope,Heng,Shanks,Iwandy,Cube","zhiqiuyi,Xiaohao,pinz,Zorah,Zdz",0.5781,0.3081,red,20.0,20.0
10157-10157_game_2,LPL,2023,Anyone's Legend,Team WE,"Aphelios,Wukong,Syndra,Milio,Sion","Jinx,Rumble,K'Sante,Blitzcrank,Gwen","zhiqiuyi,Xiaohao,pinz,Zorah,Zdz","Hope,Heng,Shanks,Iwandy,Cube",0.2516,0.6025,red,20.0,20.0
10158-10158_game_1,LPL,2023,LGD Gaming,ThunderTalk Gaming,"Jinx,Graves,Neeko,Braum,K'Sante","Aphelios,Wukong,Ahri,Thresh,Sion","Envyy,Meteor,haichao,Jinjiao,fearness","huanfeng,Beichuan,Ucal,yuyanjia,HOYA",0.3824,0.2594,red,20.0,20.0
10158-10158_game_2,LPL,2023,ThunderTalk Gaming,LGD Gaming,"Jinx,Sejuani,Jayce,Rakan,Kennen","Aphelios,Trundle,Neeko,Braum,Sion","huanfeng,Beichuan,Ucal,yuyanjia,HOYA","Envyy,Meteor,haichao,Jinjiao,fearness",0.6754,0.2339,red,20.0,20.0
