game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,blue_kills10,red_kills10,blue_golddiff10,red_golddiff10,blue_fb,red_fb,blue_ckpm,red_ckpm
LOLTMNT05_31048,LEC,2024,Team BDS,Fnatic,"Gragas,Xin Zhao,Taliyah,Xayah,Rakan","K'Sante,Maokai,Azir,Zeri,Lulu","Adam,Sheo,nuc,Ice,Labrov","Oscarinin,Razork,Humanoid,Noah,Jun",blue,14.6659,22.16,0,0,0,,,,,0.6705,0.3831
LOLTMNT02_75124,CBLOL,2024,Vivo Keyd Stars,RED Canids,"Jax,Nocturne,Orianna,Miss Fortune,Rakan","Rek'Sai,Lee Sin,Ahri,Jinx,Rell","Guigo,Disamis,Leleko,Smiley,ProDelta","fNb,Aegis,Grevthar,Brance,JoJo",red,17.4997,17.4997,0,0,3,,,,,0.39,0.8101
LOLTMNT05_32056,LEC,2024,Fnatic,Team BDS,"K'Sante,Volibear,Taliyah,Varus,Alistar","Darius,Sejuani,Azir,Xayah,Rakan","Oscarinin,Razork,Humanoid,Noah,Jun","Adam,Sheo,nuc,Ice,Labrov",red,15.8326,13.3322,0,1,3,,,,,0.339,0.5932
LOLTMNT02_76119,CBLOL,2024,Vivo Keyd Stars,RED Canids,"Udyr,Rell,Orianna,Jinx,Janna","Sion,Rek'Sai,Ahri,Xayah,Rakan","Guigo,Disamis,Leleko,Smiley,ProDelta","fNb,Aegis,Grevthar,Brance,JoJo",blue,10.8325,18.4918,0,3,2,,,,,0.6738,0.2128
LOLTMNT05_32060,LEC,2024,Team BDS,Fnatic,"Gragas,Xin Zhao,Azir,Ashe,Nautilus","K'Sante,Jax,Aurelion Sol,Kalista,Blitzcrank","Adam,Sheo,nuc,Ice,Labrov","Oscarinin,Razork,Humanoid,Noah,Jun",blue,12.8264,14.8265,0,4,3,,,,,0.2781,0.7549
LOLTMNT02_76122,CBLOL,2024,RED Canids,Vivo Keyd Stars,"Rek'Sai,Lee Sin,Ahri,Kai'Sa,Nautilus","Renekton,Rell,Veigar,Xayah,Rakan","fNb,Aegis,Grevthar,Brance,JoJo","Guigo,Disamis,Leleko,Smiley,ProDelta",red,24.8327,15.4916,0,2,2,,,,,0.3929,0.3405
LOLTMNT05_32067,LEC,2024,Fnatic,Team BDS,"Rek'Sai,Rell,Azir,Ezreal,Nautilus","Zac,Xin Zhao,Taliyah,Xayah,Rakan","Oscarinin,Razork,Humanoid,Noah,Jun","Adam,Sheo,nuc,Ice,Labrov",blue,14.1527,15.4874,0,2,4,,,,,0.4808,0.6611
LOLTMNT02_75139,CBLOL,2024,RED Canids,Vivo Keyd Stars,"Rek'Sai,Volibear,Ahri,Xayah,Rakan","Jax,Jarvan IV,Taliyah,Kai'Sa,Rell","fNb,Aegis,Grevthar,Brance,JoJo","Guigo,Disamis,Leleko,Smiley,ProDelta",red,17.8235,15.4903,0,3,4,,,,,0.4548,0.4548
LOLTMNT02_76144,LCK,2024,Gen.G,T1,"Rumble,Viego,Corki,Kalista,Nautilus","Aatrox,Maokai,Azir,Draven,Poppy","Kiin,Canyon,Chovy,Peyz,Lehends","Zeus,Oner,Faker,Gumayusi,Keria",blue,24.329,29.9996,0,1,0,,,,,0.3697,0.1386
LOLTMNT02_76145,LCK,2024,T1,Gen.G,"K'Sante,Xin Zhao,Azir,Kalista,Neeko","Rek'Sai,Rell,Aurelion Sol,Varus,Annie","Zeus,Oner,Faker,Gumayusi,Keria","Kiin,Canyon,Chovy,Peyz,Lehends",blue,17.3322,17.3322,0,1,2,,,,,0.4062,0.5312
