game_id,date,year,league,blue_team,red_team,blue_win,blue_picks,red_picks,blue_players,red_players
LOLTMNT03_213891,2025-04-07,2025,LCKC,KT Rolster Challengers,Nongshim Esports Academy,1,"Jayce,Maokai,Corki,Ezreal,Poppy","Sion,Xin Zhao,Ahri,Zeri,Lulu","Casting,YoungJae,Zinie,Paduck,Way","Kangin,Sylvie,Calix,vital,Crack"
LOLTMNT03_213911,2025-04-07,2025,LCKC,Nongshim Esports Academy,KT Rolster Challengers,0,"Rumble,Vi,Orianna,Kai'Sa,Alistar","Galio,Kindred,Aurora,Varus,Elise","Kangin,Sylvie,Calix,vital,Crack","Casting,YoungJae,Zinie,Paduck,Way"
LOLTMNT03_214905,2025-04-07,2025,LCKC,Gen.G Global Academy,DN SOOPers Challengers,1,"Aatrox,Vi,Sylas,Miss Fortune,Neeko","Ambessa,Xin Zhao,Azir,Kalista,Renata Glasc","Hanbyeol,Winner,Kemish,About,Namgung","Lancer,DDoiV,Pungyeon,Slayer,Minous"
LOLTMNT03_214997,2025-04-07,2025,LCKC,BNK FEARX Youth,DRX Challengers,1,"Rumble,Xin Zhao,Ahri,Xayah,Rakan","Jayce,Skarner,Azir,Kai'Sa,Nautilus","Soboro,Willer,Daystar,Envyy,Career","Frog,Juhan,kyeahoo,LazyFeel,Pleata"
LOLTMNT03_215018,2025-04-07,2025,LCKC,DRX Challengers,BNK FEARX Youth,0,"Gwen,Nocturne,Viktor,Ezreal,Alistar","Ambessa,Wukong,Taliyah,Varus,Renata Glasc","Frog,Juhan,kyeahoo,LazyFeel,Pleata","Soboro,Willer,Daystar,Envyy,Career"
LOLTMNT03_215478,2025-04-08,2025,LCKC,Dplus Kia Challengers,T1 Esports Academy,0,"Gwen,Naafiri,Ahri,Corki,Rell","Ambessa,Xin Zhao,Ryze,Ezreal,Alistar","Jaehyuk,Sharvel,Garden,Wayne,Berr","Haetae,Vincenzo,Poby,Cypher,Cloud"
LOLTMNT03_215537,2025-04-08,2025,LCKC,Hanwha Life Esports Challengers,HANJIN BRION Challengers,1,"Yasuo,Viego,Orianna,Varus,Alistar","Gnar,Nidalee,Tristana,Draven,Leona","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing","Ellim,HamBak,Starlit,Bull,Kice"
LOLTMNT03_216460,2025-04-08,2025,LCKC,Dplus Kia Challengers,T1 Esports Academy,0,"Aatrox,Sejuani,Yone,Kai'Sa,Rakan","Gnar,Poppy,Viktor,Varus,Nautilus","Jaehyuk,Sharvel,Garden,Wayne,Berr","Haetae,Vincenzo,Poby,Cypher,Cloud"
LOLTMNT03_216493,2025-04-08,2025,LCKC,Hanwha Life Esports Challengers,HANJIN BRION Challengers,0,"Jayce,Sejuani,Ahri,Kalista,Nautilus","Sion,Vi,Taliyah,Kai'Sa,Neeko","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing","Levy,HamBak,Starlit,Bull,Kice"
LOLTMNT03_216551,2025-04-08,2025,LCKC,HANJIN BRION Challengers,Hanwha Life Esports Challengers,1,"Rumble,Skarner,Azir,Xayah,Rakan","Aatrox,Maokai,Viktor,Miss Fortune,Rell","Ellim,HamBak,Starlit,Bull,Kice","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing"
LOLTMNT06_110237,2025-04-08,2025,PRM,Eintracht Spandau,Kaufland Hangry Knights,1,"Ornn,Naafiri,Viktor,Miss Fortune,Karma","Gnar,Maokai,Corki,Ezreal,Rell","Pride,jokaa,PowerOfEvil,Broeki,Lilipp","Venour,Rabble,Random,Jeskla,Visdom"
